Origin, Average Health, Max Weight, General Health
Saudi Arabia, 4.0, 16, 4
Great Britain, 3.8, 10, 4
Kentucky, USA, 3.75, 15, 4
Greece, 3.75, 10, 4
California, USA, 3.6666666666666665, 10, 5
USA, 3.5, 17, 3
Egypt, 3.5, 30, 4
Burma and Thailand, 3.5, 12, 2
United States and Thailand, 3.3333333333333335, 10, 2
France, 3.3333333333333335, 16, 4
United States, 3.3, 12, 4
United States and Canada, 3.125, 13, 4
England, 3.0, 13, 3
China, 3.0, 12, 3
Brazil, 3.0, 22, 3
Southeast Asia, 2.75, 10, 2
Cyprus, 2.75, 24, 3
Unknown, 2.6666666666666665, 12, 2
Australia, 2.6666666666666665, 15, 4
